percentage_increase_in_search_frequency,rising_related_queries,geo,keyword,category
5000,off white denim jacket,GB,denim jacket,0
5000,plt,GB,denim jacket,0
5000,grey denim jacket womens,GB,denim jacket,0
5000,misspap,GB,denim jacket,0
5000,oversized distressed denim jacket,GB,denim jacket,0
5000,mint velvet denim jacket,GB,denim jacket,0
5000,denim skirt and jacket co ord,GB,denim jacket,0
5000,boohooman,GB,denim jacket,0
5000,puff shoulder denim jacket,GB,denim jacket,0
5000,river island puff sleeve denim jacket,GB,denim jacket,0
1300,embroidered denim jacket,GB,denim jacket,0
1100,denim ripped jacket,GB,denim jacket,0
950,black ripped denim jacket,GB,denim jacket,0
850,balenciaga denim jacket,GB,denim jacket,0
800,distressed denim jacket,GB,denim jacket,0
700,longline denim jacket,GB,denim jacket,0
650,bershka denim jacket,GB,denim jacket,0
650,bershka,GB,denim jacket,0
600,cropped black denim jacket,GB,denim jacket,0
550,oversized ripped denim jacket,GB,denim jacket,0
550,pretty little thing,GB,denim jacket,0
550,oversized black denim jacket,GB,denim jacket,0
550,plus size denim jacket,GB,denim jacket,0
550,tommy jeans denim jacket,GB,denim jacket,0
500,tommy denim jacket,GB,denim jacket,0
5000,pretty little thing,GB,denim dress,0
5000,denim off the shoulder dress,GB,denim dress,0
5000,holly willoughby denim dress,GB,denim dress,0
5000,cold shoulder denim dress,GB,denim dress,0
5000,plt,GB,denim dress,0
5000,denim.dress,GB,denim dress,0
5000,oh polly,GB,denim dress,0
5000,misspap,GB,denim dress,0
5000,oh polly denim dress,GB,denim dress,0
5000,miss pap,GB,denim dress,0
5000,sosandar denim dress,GB,denim dress,0
5000,i saw it first,GB,denim dress,0
5000,lucy verasamy denim dress,GB,denim dress,0
2400,bardot denim dress,GB,denim dress,0
2150,off shoulder denim dress,GB,denim dress,0
1000,black pinafore dress,GB,denim dress,0
950,denim wrap dress,GB,denim dress,0
900,black dungaree dress,GB,denim dress,0
850,black denim skirt,GB,denim dress,0
750,black denim pinafore dress,GB,denim dress,0
700,midi dress,GB,denim dress,0
650,oversized denim shirt dress,GB,denim dress,0
650,michelle keegan denim dress,GB,denim dress,0
650,denim midi dress,GB,denim dress,0
600,oversized denim jacket,GB,denim dress,0
5000,pretty little thing denim skirt,GB,denim skirt,0
5000,plt,GB,denim skirt,0
5000,camo denim skirt,GB,denim skirt,0
5000,in the style,GB,denim skirt,0
5000,misspap,GB,denim skirt,0
5000,shein,GB,denim skirt,0
5000,miss pap,GB,denim skirt,0
5000,missy empire,GB,denim skirt,0
5000,lilac denim skirt,GB,denim skirt,0
5000,pull and bear,GB,denim skirt,0
5000,denim skirt and jacket co ord,GB,denim skirt,0
5000,denim skirt and jacket set,GB,denim skirt,0
5000,black distressed denim skirt,GB,denim skirt,0
5000,baby pink denim skirt,GB,denim skirt,0
5000,i saw it first,GB,denim skirt,0
5000,oh polly,GB,denim skirt,0
5000,lemon denim skirt,GB,denim skirt,0
5000,holly willoughby denim skirt,GB,denim skirt,0
5000,camouflage denim skirt,GB,denim skirt,0
2800,pretty little thing,GB,denim skirt,0
1600,denim ripped skirt,GB,denim skirt,0
1450,ripped denim skirt,GB,denim skirt,0
1300,black ripped denim skirt,GB,denim skirt,0
900,yellow denim skirt,GB,denim skirt,0
900,black denim skirt outfit,GB,denim skirt,0
5000,hera jeans,GB,jeans,0
5000,amiri jeans,GB,jeans,0
3350,jeans and a nice top,GB,jeans,0
3250,good american jeans,GB,jeans,0
2800,tommy jeans t shirt,GB,jeans,0
2550,tommy jeans sweatshirt,GB,jeans,0
1400,ripped mom jeans,GB,jeans,0
1000,river island molly jeans,GB,jeans,0
1000,bum ripped jeans,GB,jeans,0
950,mom jeans outfit,GB,jeans,0
900,black mom jeans,GB,jeans,0
850,freddy jeans uk,GB,jeans,0
750,jeans and sheux,GB,jeans,0
700,embroidered jeans,GB,jeans,0
550,blue ripped jeans,GB,jeans,0
550,mens ripped jeans,GB,jeans,0
500,high waisted ripped jeans,GB,jeans,0
500,freddy jeans,GB,jeans,0
500,womens ripped jeans,GB,jeans,0
450,dsquared2 jeans,GB,jeans,0
400,tommy jeans,GB,jeans,0
400,dsquared,GB,jeans,0
350,dsquared jeans,GB,jeans,0
350,mom jeans,GB,jeans,0
300,mum jeans,GB,jeans,0
5000,hera jeans,GB,mens jeans,0
5000,hera,GB,mens jeans,0
5000,bee inspired,GB,mens jeans,0
5000,boohooman,GB,mens jeans,0
5000,hera london,GB,mens jeans,0
5000,amiri jeans,GB,mens jeans,0
5000,boohoo man,GB,mens jeans,0
1650,grey ripped jeans mens,GB,mens jeans,0
1400,blue ripped jeans,GB,mens jeans,0
800,sik silk,GB,mens jeans,0
700,mens white ripped jeans,GB,mens jeans,0
650,dsquared jeans,GB,mens jeans,0
550,black ripped jeans,GB,mens jeans,0
450,balmain jeans,GB,mens jeans,0
450,dsquared jeans mens,GB,mens jeans,0
400,black ripped jeans mens,GB,mens jeans,0
400,mens distressed jeans,GB,mens jeans,0
350,distressed jeans mens,GB,mens jeans,0
350,ripped jeans,GB,mens jeans,0
350,dsquared,GB,mens jeans,0
350,mens ripped jeans,GB,mens jeans,0
350,biker jeans mens,GB,mens jeans,0
300,mens skinny ripped jeans,GB,mens jeans,0
300,11 degrees,GB,mens jeans,0
300,mens loafers,GB,mens jeans,0
5000,grey ripped jeans mens,GB,ripped jeans,0
