relative_score,most_popular_searches,geo,keyword,category
100,black denim jacket,GB,denim jacket,0
75,mens denim jacket,GB,denim jacket,0
60,denim jacket womens,GB,denim jacket,0
44,denim oversized jacket,GB,denim jacket,0
32,white denim jacket,GB,denim jacket,0
30,fur denim jacket,GB,denim jacket,0
29,denim jacket men,GB,denim jacket,0
26,denim jacket topshop,GB,denim jacket,0
26,levis,GB,denim jacket,0
26,levis denim jacket,GB,denim jacket,0
25,asos denim jacket,GB,denim jacket,0
25,asos,GB,denim jacket,0
25,denim jacket women,GB,denim jacket,0
25,topshop,GB,denim jacket,0
24,cropped denim jacket,GB,denim jacket,0
23,blue denim jacket,GB,denim jacket,0
23,denim shirt,GB,denim jacket,0
23,denim jacket new look,GB,denim jacket,0
22,denim jacket ladies,GB,denim jacket,0
22,denim jackets,GB,denim jacket,0
21,new look,GB,denim jacket,0
20,pink denim jacket,GB,denim jacket,0
18,denim dress,GB,denim jacket,0
18,zara,GB,denim jacket,0
17,zara denim jacket,GB,denim jacket,0
100,denim shirt,GB,denim dress,0
97,denim dress shirt,GB,denim dress,0
94,shirt dress,GB,denim dress,0
63,pinafore denim dress,GB,denim dress,0
63,pinafore dress,GB,denim dress,0
62,denim pinafore,GB,denim dress,0
60,black denim dress,GB,denim dress,0
60,denim dress uk,GB,denim dress,0
47,denim jacket,GB,denim dress,0
40,denim look dress,GB,denim dress,0
39,denim skirt,GB,denim dress,0
38,denim dresses,GB,denim dress,0
38,new look,GB,denim dress,0
36,denim dress new look,GB,denim dress,0
32,womens denim dress,GB,denim dress,0
32,white denim dress,GB,denim dress,0
31,denim dress asos,GB,denim dress,0
30,denim dress next,GB,denim dress,0
29,asos,GB,denim dress,0
29,dungaree dress,GB,denim dress,0
28,topshop,GB,denim dress,0
27,zara,GB,denim dress,0
27,denim dress zara,GB,denim dress,0
27,long denim dress,GB,denim dress,0
26,denim dress topshop,GB,denim dress,0
100,black denim skirt,GB,denim skirt,0
97,black skirt,GB,denim skirt,0
50,white denim skirt,GB,denim skirt,0
50,white skirt,GB,denim skirt,0
34,topshop denim skirt,GB,denim skirt,0
34,denim skirt mini,GB,denim skirt,0
32,topshop,GB,denim skirt,0
31,denim midi skirt,GB,denim skirt,0
31,denim dress,GB,denim skirt,0
30,midi skirt,GB,denim skirt,0
28,denim skirt uk,GB,denim skirt,0
26,denim skirt new look,GB,denim skirt,0
26,new look,GB,denim skirt,0
24,denim shirt,GB,denim skirt,0
24,denim jacket,GB,denim skirt,0
23,skirts,GB,denim skirt,0
23,denim skirts,GB,denim skirt,0
20,denim skirt outfit,GB,denim skirt,0
20,womens denim skirt,GB,denim skirt,0
20,red denim skirt,GB,denim skirt,0
19,asos denim skirt,GB,denim skirt,0
19,asos,GB,denim skirt,0
18,pink denim skirt,GB,denim skirt,0
18,red skirt,GB,denim skirt,0
18,ripped denim skirt,GB,denim skirt,0
100,mens jeans,GB,jeans,0
99,black jeans,GB,jeans,0
76,skinny jeans,GB,jeans,0
52,ripped jeans,GB,jeans,0
46,womens jeans,GB,jeans,0
46,blue jeans,GB,jeans,0
43,white jeans,GB,jeans,0
33,jeans sale,GB,jeans,0
32,topshop,GB,jeans,0
32,topshop jeans,GB,jeans,0
32,next jeans,GB,jeans,0
27,levi jeans,GB,jeans,0
26,ladies jeans,GB,jeans,0
25,high waisted jeans,GB,jeans,0
25,armani jeans,GB,jeans,0
25,armani,GB,jeans,0
25,denim,GB,jeans,0
24,levis,GB,jeans,0
23,denim jeans,GB,jeans,0
23,jeans jacket,GB,jeans,0
23,mom jeans,GB,jeans,0
22,levis jeans,GB,jeans,0
22,asos jeans,GB,jeans,0
22,new look jeans,GB,jeans,0
21,grey jeans,GB,jeans,0
100,black jeans,GB,mens jeans,0
100,black jeans mens,GB,mens jeans,0
98,skinny jeans,GB,mens jeans,0
98,skinny jeans mens,GB,mens jeans,0
98,mens black jeans,GB,mens jeans,0
68,mens jeans uk,GB,mens jeans,0
57,mens ripped jeans,GB,mens jeans,0
56,ripped jeans,GB,mens jeans,0
56,mens jeans sale,GB,mens jeans,0
42,mens slim jeans,GB,mens jeans,0
40,mens blue jeans,GB,mens jeans,0
39,blue jeans,GB,mens jeans,0
38,white jeans,GB,mens jeans,0
37,next jeans mens,GB,mens jeans,0
36,next jeans,GB,mens jeans,0
35,mens white jeans,GB,mens jeans,0
30,mens grey jeans,GB,mens jeans,0
29,grey jeans,GB,mens jeans,0
29,slim fit jeans,GB,mens jeans,0
28,mens levi jeans,GB,mens jeans,0
28,armani jeans,GB,mens jeans,0
28,slim fit jeans mens,GB,mens jeans,0
28,armani mens jeans,GB,mens jeans,0
27,armani,GB,mens jeans,0
27,mens shoes,GB,mens jeans,0
100,black jeans,GB,ripped jeans,0
99,ripped black jeans,GB,ripped jeans,0
78,skinny ripped jeans,GB,ripped jeans,0
77,skinny jeans,GB,ripped jeans,0
69,ripped mens jeans,GB,ripped jeans,0
68,mens jeans,GB,ripped jeans,0
37,blue jeans,GB,ripped jeans,0
35,ripped blue jeans,GB,ripped jeans,0
32,ripped jeans womens,GB,ripped jeans,0
28,white jeans,GB,ripped jeans,0
27,white ripped jeans,GB,ripped jeans,0
27,high waisted jeans,GB,ripped jeans,0
27,ripped high waisted jeans,GB,ripped jeans,0
26,skinny black ripped jeans,GB,ripped jeans,0
26,black skinny jeans,GB,ripped jeans,0
23,topshop jeans,GB,ripped jeans,0
23,ripped jeans topshop,GB,ripped jeans,0
22,ripped jeans men,GB,ripped jeans,0
22,topshop,GB,ripped jeans,0
21,mens ripped jeans skinny,GB,ripped jeans,0
21,new look jeans,GB,ripped jeans,0
21,mens ripped skinny jeans,GB,ripped jeans,0
20,new look ripped jeans,GB,ripped jeans,0
20,new look,GB,ripped jeans,0
19,women ripped jeans,GB,ripped jeans,0
100,mens denim jacket,GB,denim jacket men,0
74,black denim jacket men,GB,denim jacket men,0
72,black denim jacket,GB,denim jacket men,0
29,asos,GB,denim jacket men,0
29,asos men,GB,denim jacket men,0
22,white denim jacket,GB,denim jacket men,0
18,levis denim jacket,GB,denim jacket men,0
18,zara men,GB,denim jacket men,0
16,topman,GB,denim jacket men,0
14,zara,GB,denim jacket men,0
12,river island,GB,denim jacket men,0
11,bomber jacket men,GB,denim jacket men,0
11,how to wear denim jacket,GB,denim jacket men,0
10,oversized denim jacket,GB,denim jacket men,0
9,denim jackets for men,GB,denim jacket men,0
9,new look men,GB,denim jacket men,0
8,red denim jacket,GB,denim jacket men,0
8,denim jacket women,GB,denim jacket men,0
6,distressed denim jacket,GB,denim jacket men,0
5,how to wear a denim jacket,GB,denim jacket men,0
4,denim jacket with fur collar,GB,denim jacket men,0
4,all saints,GB,denim jacket men,0
3,what to wear with a denim jacket,GB,denim jacket men,0
3,jd,GB,denim jacket men,0
3,zara uk,GB,denim jacket men,0
100,black high waisted jeans,GB,high waisted jeans,0
99,black jeans,GB,high waisted jeans,0
78,skinny jeans,GB,high waisted jeans,0
78,high waisted skinny jeans,GB,high waisted jeans,0
64,ripped jeans high waisted,GB,high waisted jeans,0
61,ripped jeans,GB,high waisted jeans,0
34,high waisted jeans new look,GB,high waisted jeans,0
34,new look jeans,GB,high waisted jeans,0
33,womens jeans,GB,high waisted jeans,0
33,womens high waisted jeans,GB,high waisted jeans,0
33,new look,GB,high waisted jeans,0
32,white jeans,GB,high waisted jeans,0
32,white high waisted jeans,GB,high waisted jeans,0
32,topshop jeans,GB,high waisted jeans,0
31,high waisted jeans uk,GB,high waisted jeans,0
31,topshop high waisted jeans,GB,high waisted jeans,0
30,topshop,GB,high waisted jeans,0
29,high waisted mom jeans,GB,high waisted jeans,0
27,high waisted blue jeans,GB,high waisted jeans,0
27,mom jeans,GB,high waisted jeans,0
26,blue jeans,GB,high waisted jeans,0
21,black skinny jeans,GB,high waisted jeans,0
20,ripped skinny jeans,GB,high waisted jeans,0
19,high waisted black ripped jeans,GB,high waisted jeans,0
19,skinny high waisted ripped jeans,GB,high waisted jeans,0
100,mens denim jacket,GB,black denim jacket,0
86,womens denim jacket,GB,black denim jacket,0
64,black jeans denim jacket,GB,black denim jacket,0
44,black oversized denim jacket,GB,black denim jacket,0
41,black fur denim jacket,GB,black denim jacket,0
